LOCAL AUTHORITY,Region,Latitude,Longitude,POPULATION,AVERAGE RANK,OVERALL RANK,ANTI SOCIAL BEHAVIOUR REPORTS PER 1K RESIDENTS,ANTI SOCIAL BEHAVIOUR RANK,"% OF OWNED PROPERTIES (OUTRIGHT, W/MORTGAGE OR LOAN)",% OF OWNED PROPERTIES RANK,GOOGLE SEARCHES FOR “community events”,WEIGHTED BY POPULATION,GOOGLE SEARCH RANK,GOOGLE SEARCH CHANGE FOR “community events”,GOOGLE SEARCH CHANGE RANK,LOCAL COUNCIL AWARD WINS,LOCAL COUNCIL AWARD WINS RANK,"# OF SOCIAL AMENITIES (COMMUNITY CENTRES, CAFÉS, PUBS)","# OF SOCIAL AMENITIES PER 10,000 RESIDENTS ",# OF SOCIAL AMENITIES RANK,"QUANTITY OF PUBLIC FIELDS, PARKS AND PUBLIC GARDENS WITHIN A 1000M RADIUS",QUANTITY OF PUBLIC GREEN SPACES RANK
Southwark,London,51.50350,0.0804,314786,36.14,52.00,32.80,47.00,31.90,52.00,40.00,0.00012707,55.00,0%,36.00,4.00,31.00,108.00,3.43,31.00,12.01,1.00
Islington,London,51.54650,0.1022,223024,28.00,28.00,37.70,53.00,28.90,54.00,200.00,0.00089676,27.00,0%,26.00,5.00,22.00,119.00,5.34,12.00,11.79,2.00
Camden,London,51.54500,0.1628,216943,35.00,51.00,35.70,52.00,31.30,53.00,120.00,0.00055314,35.00,0%,17.00,1.00,41.00,48.00,2.21,44.00,9.65,3.00
Haringey,London,51.59060,0.1109,263850,30.29,35.00,31.60,45.00,39.70,46.00,75.00,0.00028425,50.00,0%,23.00,5.00,21.00,102.00,3.87,23.00,8.45,4.00
Hackney,London,51.54500,0.0553,266758,26.86,22.00,30.80,43.00,28.00,55.00,260.00,0.00097467,25.00,0%,22.00,13.00,1.00,76.00,2.85,37.00,8.43,5.00
Newcastle upon Tyne,North East,54.97830,1.6178,320605,27.57,25.00,28.90,42.00,49.89,32.00,400.00,0.00124764,20.00,0%,30.00,1.00,47.00,152.00,4.74,16.00,7.99,6.00
Merton,London,51.40980,0.2108,218539,23.00,11.00,18.30,17.00,57.50,20.00,90.00,0.00041183,41.00,0%,29.00,2.00,37.00,120.00,5.49,10.00,7.57,7.00
Liverpool,North West,53.40840,2.9916,508961,19.29,4.00,13.50,9.00,48.09,36.00,420.00,0.00082521,29.00,33%,11.00,10.00,3.00,142.00,2.79,39.00,6.84,8.00
Lambeth,London,51.46070,0.1163,316920,29.29,34.00,31.10,44.00,35.00,51.00,680.00,0.00214565,7.00,-30%,45.00,8.00,9.00,88.00,2.78,40.00,6.75,9.00
Nottingham,East Midlands,52.95480,1.1581,331077,28.00,29.00,27.20,39.00,45.74,42.00,130.00,0.00039266,42.00,100%,7.00,4.00,30.00,121.00,3.65,26.00,6.63,10.00
Ealing,London,51.51300,0.3089,385985,34.00,49.00,33.70,49.00,48.60,34.00,120.00,0.00031089,48.00,0%,19.00,4.00,26.00,60.00,1.55,51.00,6.54,11.00
